sampno,perno,age,gender,ethnicity,ethnic_oth,education,drivingfreq,transitfreq,employment,commutework,worktransport,worktransport_oth,commutedist,weeklycommute,workdays,workvehicle,enrolled,schooltransport,schoolcommute,pevowner
4307,2,,1,6,-1,8,1,0,2,2,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4308,1,,2,6,-1,5,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4308,2,,1,6,-1,4,1,0,1,1,1,-1,2,7,5,2,4,-1,-1,0
4308,3,,1,6,-1,4,4,14,2,1,4,-1,2,14,7,3,4,-1,-1,0
4308,4,,1,4,-1,4,1,0,1,1,2,-1,3,21,6,3,4,-1,-1,0
4308,5,,2,6,-1,4,3,10,1,1,4,-1,3,18,6,3,4,-1,-1,0
4310,1,,2,4,-1,8,1,0,1,1,1,-1,11,110,5,2,4,-1,-1,0
4311,1,,2,2,-1,6,3,0,1,1,1,-1,30,300,5,2,4,-1,-1,0
4311,2,,1,6,-1,6,2,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4313,1,,1,6,-1,6,1,0,5,1,1,-1,12,48,2,2,4,-1,-1,0
4313,2,,2,6,-1,6,1,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4315,1,,1,2,-1,8,1,2,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4315,2,,2,2,-1,8,5,1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4315,3,,2,2,-1,5,1,2,1,1,2,-1,175,350,7,3,2,2,6,0
4319,1,,2,6,-1,5,1,0,1,1,1,-1,18,164,4,2,2,1,3,0
4319,2,,1,6,-1,6,2,0,1,1,6,-1,8,80,5,2,4,-1,-1,0
4321,1,,2,6,-1,7,2,10,1,1,4,-1,20,200,5,1,4,-1,-1,0
4321,2,,1,6,-1,6,1,0,1,1,1,-1,10,100,5,2,4,-1,-1,0
4322,1,,1,3,-1,5,1,0,5,1,1,-1,34,230,5,2,4,-1,-1,0
4322,2,,2,3,-1,6,1,0,1,1,1,-1,19,150,4,2,4,-1,-1,0
4322,3,,1,3,-1,2,1,0,2,1,1,-1,2,25,6,2,1,1,10,0
4323,1,,1,4,-1,4,1,12,2,1,1,-1,30,150,5,1,4,-1,-1,0
4323,2,,2,6,-1,6,1,100,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
4324,1,,2,4,-1,7,1,0,1,1,1,-1,14,140,5,2,4,-1,-1,0
4324,2,,2,4,-1,2,5,0,4,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
